#
#   VizieR Astronomical Server: vizier.u-strasbg.fr 	2009-02-22T01:01:30
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VOTx29231	
#INFO	-out.max=50000	

#RESOURCE=yCat_5085
#Name: V/85A
#Title: Stellar Mass Catalogue (Belikov 1995)
#Table	V_85A_catalog:
#Name: V/85A/catalog
#Title: The catalogue
#Column	_RAJ2000	(F8.4)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DEJ2000	(F8.4)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec;meta.main]
#Column	Name	(a12)	Principal name of the system	[ucd=meta.id;meta.main]
#Column	OtherID	(a12)	Secondary identifier of the system	[ucd=meta.id]
#Column	M1	(F7.4)	Mass of primary component	[ucd=phys.mass]
#Column	e_M1	(F7.4)	? Mean error on M1	[ucd=stat.error]
#Column	M2	(F7.4)	Mass of secondary component	[ucd=phys.mass]
#Column	e_M2	(F7.4)	? Mean error on M2	[ucd=stat.error]
#Column	Method	(A2)	Method of mass determination (1)	[ucd=meta.code;obs]
#Column	n_Name	(A2)	Individual note explained in (5)	[ucd=meta.note]
#Column	AAAref	(a10)	Reference from AAA (2)	[ucd=meta.ref]
#Column	System	(a5)	Type of system (3)	[ucd=src.class]
#Column	Sp	(a20)	Spectral types of the two stars (4)	[ucd=src.spType]
#Column	_RA	(F8.4)	Position (derived from SIMBAD) (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F8.4)	Position (derived from SIMBAD) (declination part)	[ucd=pos.eq.dec;meta.main]
_RAJ2000|_DEJ2000|Name|OtherID|M1|e_M1|M2|e_M2|Method|n_Name|AAAref|System|Sp|_RA|_DE
283.8464|+09.3467|Aql V1182   |BD +09 3928 |37.8000| 1.6000|13.5000| 0.5000|S0|  |43.117.061|d    |O9Vn+B3V            |283.8464|+09.3467
283.8464|+09.3467|Aql V1182   |SAO 124049  |28.0000| 4.0000|10.7000| 1.5000|S0|  |07.119.010|sd   |O9+B3               |283.8464|+09.3467
320.0667|-10.8023|Aqr RY      |HD 203069   | 1.2700| 0.0600| 0.2600| 0.0100|S0|  |43.119.026|sd   |A8-F5V+e.KIV        |320.0667|-10.8023
335.8164|-15.3323|Aqr BW      |BD -16 6074 | 1.4800| 0.0300| 1.3800| 0.0300|S0|  |43.119.059|d    |F8IV+F7IV           |335.8164|-15.3323
338.6749|-19.8598|Aqr EE      |HD 213863   | 2.2000| 0.1300| 0.7400| 0.0300|S0|  |45.117.096|sd/d |                    |338.6749|-19.8598
267.6183|-53.6124|Ara 77 G    |HD 161783   | 6.7000|       | 5.7000|       |S0|  |11.118.009|     |                    |267.6183|-53.6124
264.5231|-56.8215|Ara V535    |BV 419      | 1.5800| 0.1500| 0.4600| 0.0500|S0|  |25.119.036|W    |A8+(A5)             |264.5231|-56.8215
267.6183|-53.6124|Ara V539    |HD 161783   | 6.8000|       | 5.8000|       |S0|  |06.121.001|     |B3+B5               |267.6183|-53.6124
079.1723|+45.9980|Aur alpha   |HD 34029    | 3.3100| 0.0800| 2.8000| 0.0500|S2|  |40.119.003|     |G6III+F9III         |079.1723|+45.9980
079.1723|+45.9980|Aur alpha   |HR 1708     | 4.2000|       | 3.3000|       |S2|  |03.118.019|     |                    |079.1723|+45.9980
089.8822|+44.9474|Aur beta    |            | 2.3500| 0.0300| 2.2700| 0.0300|S0|  |05.121.028|     |e.AV+e.AV           |089.8822|+44.9474
089.8822|+44.9474|Aur beta    |            | 2.3400|       | 2.2500|       |S0|  |02.117.001|     |A2+A2               |089.8822|+44.9474
077.9289|+42.1654|Aur SX      |HD 33357    |10.8000|       | 5.6600|       |S0|  |25.119.038|sd   |B3.5+B6             |077.9289|+42.1654
077.9289|+42.1654|Aur SX      |            |11.0000|       | 5.8000|       |S0|  |32.119.049|Al   |B3;B3+B6            |077.9289|+42.1654
077.4260|+39.5864|Aur TT      |HD 33088    | 6.7000|       | 5.3000|       |S0|  |38.119.046|sd   |dB3+B6              |077.4260|+39.5864
077.4260|+39.5864|Aur TT      |BD +39 1192 | 8.7000|       | 5.6000|       |S0|  |42.119.001|sd   |B1+B2.5             |077.4260|+39.5864
077.4260|+39.5864|Aur TT      |            | 6.7000|       | 5.3000|       |S0|  |21.121.052|d:   |B3+B6               |077.4260|+39.5864
077.4260|+39.5864|Aur TT      |            | 6.7300|       | 5.3800|       |S0|  |02.117.001|     |B3+(B7.5)           |077.4260|+39.5864
098.1133|+32.4549|Aur WW      |HD 46052    | 1.9700| 0.0200| 1.7900| 0.0100|S0|  |21.121.052|d    |A4Vm+A5Vm           |098.1133|+32.4549
098.1133|+32.4549|Aur WW      |            | 1.9740|       | 1.7870|       |S0|  |18.121.113|d    |A4Vm+A5Vm           |098.1133|+32.4549
098.1133|+32.4549|Aur WW      |            | 1.8200|       | 1.7500|       |S0|  |18.121.113|d    |A4Vm+A5Vm           |098.1133|+32.4549
098.1133|+32.4549|Aur WW      |            | 1.8200|       | 1.7500|       |S0|  |02.117.001|     |A3m+A3m             |098.1133|+32.4549
079.5787|+33.7673|Aur AR      |HD 34364    | 2.6000| 0.1000| 2.3300| 0.0400|S0|  |21.121.052|d    |B8V+B9.5V           |079.5787|+33.7673
079.5787|+33.7673|Aur AR      |            | 2.6900|       | 2.3700|       |S0|  |02.117.001|     |B8.5+B9.5           |079.5787|+33.7673
079.5878|+36.6320|Aur EO      |            |21.4700|       |21.4200|       |S0|  |02.117.001|     |B3+(B9.5)           |079.5878|+36.6320
102.8270|+47.6734|Aur HS      |BD +47 1350 | 0.8980| 0.0190| 0.8770| 0.0170|S0|  |41.119.052|d    |G8V+K0V             |102.8270|+47.6734
081.9683|+34.7828|Aur IU      |HD 35652    |15.6000| 0.8000|10.7000| 0.6000|S0|  |26.119.012|sd/c:|B0p+B1p             |081.9683|+34.7828
082.4277|+35.3750|Aur LY      |HD 35921    |13.0000|       |22.0000|       |S0|  |30.117.063|c    |O9.5III             |082.4277|+35.3750
082.4277|+35.3750|Aur LY      |BD +35 1137 |21.6000| 1.7000| 8.1000| 0.9000|S0|  |21.121.002|c    |O9.5III+(O9.5III)   |082.4277|+35.3750
228.3855|+38.5682|Boo SS      |            | 1.0000|       | 1.0000|       |S0|  |34.119.002|RS   |G0V+K1IV            |228.3855|+38.5682
207.2982|+20.1902|Boo XY      |            | 0.9300| 0.3400| 0.1500| 0.0500|S0|  |38.117.254|W    |F8                  |207.2982|+20.1902
209.0397|+25.9187|Boo ZZ      |HD 121648   | 1.6200| 0.0100| 1.5700| 0.0100|S0|  |34.119.001|d    |F2V+F2V             |209.0397|+25.9187
209.0397|+25.9187|Boo ZZ      |            | 1.7600| 0.0300| 1.6800| 0.0300|S0|  |05.121.041|     |F0;F2IV/V+F2IV/V    |209.0397|+25.9187
209.0397|+25.9187|Boo ZZ      |            | 1.8000|       | 1.7000|       |S0|  |02.117.001|     |F0+F0               |209.0397|+25.9187
061.9553|+62.3329|Cam SZ      |HD 25638    |18.1000| 1.8000| 4.5000| 0.4000|S0|  |28.117.057|sd   |O9.5+B0             |061.9553|+62.3329
082.4455|+69.4959|Cam AS      |HD 35311    | 3.3100|       | 2.5100|       |S0|  |30.117.110|d    |B8.5+A0             |082.4455|+69.4959
082.4455|+69.4959|Cam AS      |BD +69 325  | 3.3000| 0.1000| 2.5000| 0.1000|S0|  |34.119.016|     |B8+B9.5             |082.4455|+69.4959
126.4658|+77.2186|Cam AY      |            | 1.9500| 0.0500| 1.7100| 0.0400|S0|  |44.119.035|Al   |                    |126.4658|+77.2186
148.6412|-58.4213|Car QX      |HD 86118    | 9.2700| 0.1200| 8.4800| 0.1200|S0|  |33.119.037|d    |B2V;B3V+B3V         |148.6412|-58.4213
163.4020|-59.4551|Car HH      |HDE 303503  |17.0000|       |14.0000|       |S0|  |41.119.051|sd   |                    |163.4020|-59.4551
156.7287|-57.6753|Car V348    |HD 90707    |32.0000| 4.0000|29.0000| 4.0000|S0|  |39.117.061|nc   |B1III+B             |156.7287|-57.6753
012.2762|+57.8152|Cas eta     |ADS 671     | 0.8600|       | 0.5600|       |V0|  |02.117.003|     |G0V+dM0             |012.2762|+57.8152
012.2762|+57.8152|Cas eta     |SIGM 60     | 0.9200|       | 0.6000|       |V0|  |02.117.003|     |G0V+dM0             |012.2762|+57.8152
012.2762|+57.8152|Cas eta     |            | 0.9300|       | 0.5900|       |V0|  |06.118.027|     |G0V+M0V             |012.2762|+57.8152
017.0683|+54.9203|Cas mu      |            | 0.4900| 0.0600| 0.1300| 0.0200|V4| 5|42.118.034|     |                    |017.0683|+54.9203
017.0683|+54.9203|Cas mu      |            | 0.8200| 0.2300| 0.1800| 0.0500|V4| 6|42.118.034|     |                    |017.0683|+54.9203
046.9406|+67.5774|Cas RX      |            | 3.0000| 0.1500| 0.4800| 0.0200|S0|  |41.117.093|S    |A2-5+K0II/III       |046.9406|+67.5774
002.6753|+54.8915|Cas SX      |HD 232121   | 5.1000| 0.4000| 1.5000| 0.4000|S0|  |46.117.175|S    |m.BV+K3III          |002.6753|+54.8915
011.4128|+74.9881|Cas YZ      |HD 4161     | 2.3100| 0.0100| 1.3500| 0.0100|S0|  |30.119.065|     |?+F2V               |011.4128|+74.9881
011.4128|+74.9881|Cas YZ      |ADS 624A    | 2.3200|       | 1.3500|       |S0|  |34.119.003|     |B9.5IVm+F1V         |011.4128|+74.9881
347.5107|+59.2017|Cas PV      |HD 240208   | 2.7900| 0.0500| 2.7900| 0.0500|S0|  |43.119.022|d    |B9.5                |347.5107|+59.2017
358.8910|+57.4122|Cas V373    |HD 224151   |21.0000| 2.0000|15.5000| 1.5000|S0|  |43.117.046|     |B0.5II+B4III        |358.8910|+57.4122
010.0261|+50.2376|Cas V523    |            | 0.6200| 0.0300| 0.2600| 0.0200|S0|  |39.117.060|c    |K5V                 |010.0261|+50.2376
219.9008|-60.8356|Cen alpha   |            | 1.0900| 0.0100| 0.9000| 0.0100|V0|  |41.115.004|     |                    |219.9008|-60.8356
176.9871|-60.5653|Cen SV      |HD 102552   | 7.7000|       | 9.6000|       |S0|  |31.117.143|d    |B1V+B6.5III         |176.9871|-60.5653
207.9822|-36.6236|Cen V757    |HD 120734   | 1.0000|       | 0.6900|       |S0|  |31.119.049|W    |(G0V)+(G0V)         |207.9822|-36.6236
207.9822|-36.6236|Cen V757    |            | 0.8800|       | 0.5900|       |S0|  |38.117.168|WW   |G2+?                |207.9822|-36.6236
207.9822|-36.6236|Cen V757    |            | 0.8500| 0.0900| 0.6000| 0.0600|S0|  |38.117.130|W    |G0V+G0V             |207.9822|-36.6236
015.5768|+81.8756|Cep U       |HD 5679     | 4.2000|       | 2.8000|       |S0|  |20.117.026|sd   |B9.5V+G5III-IV      |015.5768|+81.8756
337.8158|+63.5227|Cep WX      |HD 213631   | 2.3250| 0.0450| 2.5350| 0.0500|S0|  |43.119.022|d    |A3                  |337.8158|+63.5227
337.8158|+63.5227|Cep WX      |BD +62 2091 | 1.0200|       | 1.0200|       |S0|  |04.121.031|d    |A2+A5               |337.8158|+63.5227
341.2610|+68.1329|Cep ZZ      |HD 215661   | 4.1000|       | 1.9000|       |S0|  |21.121.052|d    |B7+F0V              |341.2610|+68.1329
341.9706|+65.0622|Cep AH      |HD 216014   |18.1000| 0.9000|15.9000| 0.8000|S0|  |42.117.192|d    |B0.5Vn+B0.5Vn       |341.9706|+65.0622
341.9706|+65.0622|Cep AH      |BD +64 1717 |14.4000|       |12.4000|       |S0|  |21.121.052|d:   |B1+B1               |341.9706|+65.0622
341.9706|+65.0622|Cep AH      |            |14.8900|       |12.8400|       |S0|  |02.117.001|     |B0-0.5+B0.5-1       |341.9706|+65.0622
351.3951|+64.7904|Cep CN      |            | 9.9300|       | 9.6800|       |S0|  |02.117.001|     |B3+B3               |351.3951|+64.7904
339.2248|+56.9058|Cep CQ      |            |31.0000| 0.8000|25.5000| 0.7000|S0|  |32.119.037|WR   |WN7+O7              |339.2248|+56.9058
339.2248|+56.9058|Cep CQ      |            |15.7000|       |18.9000|       |S0| a|40.119.013|WR   |WN7+O9/B0           |339.2248|+56.9058
346.0093|+63.3969|Cep CW      |HD 218066   |11.8000| 0.1000|11.1000| 0.1000|S0|  |21.121.052|d    |B0.5+B0.5           |346.0093|+63.3969
346.0093|+63.3969|Cep CW      |            |11.7400|       |11.0200|       |S0|  |13.119.002|     |B0.5IV/V+B0.5IV/V   |346.0093|+63.3969
346.0093|+63.3969|Cep CW      |            |11.5000| 0.1500|11.5000| 0.1500|S0|  |11.121.041|     |B5;B0.5IV/V+B0.5IV/V|346.0093|+63.3969
346.0093|+63.3969|Cep CW      |            |11.2000|       |11.9000|       |S0|  |17.121.062|     |B0.5+B0.5           |346.0093|+63.3969
322.1175|+76.4035|Cep EI      |HD 205234   | 1.8200|       | 1.7200|       |S0|  |09.121.057|     |                    |322.1175|+76.4035
322.1175|+76.4035|Cep EI      |BD +75 791  | 1.8000|       | 1.8000|       |S0|16|13.121.012|d    |A                   |322.1175|+76.4035
322.1175|+76.4035|Cep EI      |BV 203      | 1.7000|       | 1.8000|       |S0|17|13.121.012|d    |A                   |322.1175|+76.4035
322.1175|+76.4035|Cep EI      |Boss 5536   | 1.6900|       | 1.7900|       |S0|  |18.121.114|d    |F1V+F1              |322.1175|+76.4035
322.1175|+76.4035|Cep EI      |            | 1.7900|       | 1.7900|       |S0|  |02.117.001|     |F0+F0               |322.1175|+76.4035
325.3396|+69.6928|Cep EK      |            | 2.0300| 0.0200| 1.1200| 0.0100|S0|  |34.119.030|d    |A1V+?               |325.3396|+69.6928
344.4471|+68.4072|Cep GT      |HD 217224   | 8.2000| 1.0000| 2.8000| 0.2000|S0|  |31.119.120|sd   |B3V+?               |344.4471|+68.4072
039.8910|-11.8722|Cet epsilon |HD 16620    | 1.1000|       | 0.7400|       |S1|  |45.118.016|     |F5V+G0V             |039.8910|-11.8722
044.8897|+03.5176|Cet XY      |HD 18597    | 1.7500| 0.0200| 1.6300| 0.0200|S0|  |28.119.011|d    |A5+A7               |044.8897|+03.5176
044.8897|+03.5176|Cet XY      |BD +2 460   | 1.7600|       | 1.6400|       |S0|  |44.119.047|d    |A5V+A7V             |044.8897|+03.5176
030.0502|-18.2078|Cet YY      |            | 1.8400| 0.2600| 0.9400| 0.1100|S0|  |41.117.011|Al   |A8V+l.G             |030.0502|-18.2078
048.6521|+02.7546|Cet TV      |HD 20173    | 1.3900| 0.0500| 1.2700| 0.0400|S0|  |25.119.021|     |F2V                 |048.6521|+02.7546
160.6004|-82.0373|Cha RZ      |HD 93486    | 1.5000| 0.0300| 1.5100| 0.0200|S0|  |27.119.059|d    |F5IV/V+F5IV/V       |160.6004|-82.0373
160.6004|-82.0373|Cha RZ      |CoD -81 391 | 1.5100| 0.0300| 1.5100| 0.0300|S0|  |14.121.080|     |F5;F5IV/V+F5IV/V    |160.6004|-82.0373
160.6004|-82.0373|Cha RZ      |BV 473      | 1.5100| 0.0200| 1.5100| 0.0200|S0|  |14.121.083|     |F5IV/V              |160.6004|-82.0373
130.8009|-79.0701|Cha 9 RS    |HD 75747    | 1.8600| 0.0200| 1.8200| 0.0200|S0|  |27.119.002|     |                    |130.8009|-79.0701
130.8009|-79.0701|Cha 9 RS    |HR 3524     | 1.8600| 0.0200| 1.8600| 0.0200|S0|  |27.119.059|d    |A8IV+?              |130.8009|-79.0701
130.8009|-79.0701|Cha 9 RS    |BV 430      | 1.2500| 0.0600| 1.0500| 0.0600|S0|  |01.121.001|d    |A5;A5V+A7V          |130.8009|-79.0701
130.8009|-79.0701|Cha 9 RS    |            | 1.6300|       | 1.5700|       |S0|  |01.121.006|     |A8IV+A8IV           |130.8009|-79.0701
130.8009|-79.0701|Cha 9 RS    |            | 1.8610| 0.0180| 1.8240| 0.0180|S0|  |14.121.082|     |A5;A8IV+A8IV        |130.8009|-79.0701
101.2872|-16.7161|CMa alpha   |Sirius      | 2.1430| 0.0560| 1.0530| 0.0280|V0|  |22.118.009|     |A1V+wd              |101.2872|-16.7161
101.2872|-16.7161|CMa alpha   |            | 2.0300| 0.1100| 1.0100| 0.0600|V0|  |12.121.004|     |                    |101.2872|-16.7161
109.8674|-16.3952|CMa R       |HD 57167    | 1.1000| 0.2000| 0.1700| 0.0200|S0|  |40.119.034|sd   |F1V+?               |109.8674|-16.3952
109.6682|-24.5587|CMa UW      |            |19.3000|       |23.2000|       |S0|  |22.117.035|c    |O8.5I+O-B           |109.6682|-24.5587
110.4689|-23.7937|CMa CW      |HD 57802    | 2.0920| 0.0150| 1.9770| 0.0160|S0|  |32.119.041|     |B9;A0V              |110.4689|-23.7937
109.0800|-16.7167|CMa GZ      |HD 56429    | 2.2000| 0.0250| 2.0000| 0.0250|S0|  |40.119.006|     |e.A0                |109.0800|-16.7167
105.6776|-11.4532|CMa FZ      |HD 52942    | 2.8000|       | 2.8000|       |S0|  |29.119.005|d    |B2IV/V+B2IV/V       |105.6776|-11.4532
130.9839|+19.0342|Cnc S       |            | 2.3300| 0.0700| 0.1750| 0.0400|S0|  |38.119.054|sd   |A0V+G8V             |130.9839|+19.0342
129.7856|+31.7957|Cnc RZ      |            | 3.1000| 0.2000| 0.5500| 0.0500|S0|  |10.121.016|sd   |K1III+K4III         |129.7856|+31.7957
132.9078|+11.8492|Cnc AH      |            | 1.0200|       | 0.5100|       |S0|  |38.117.168|WW   |F7V+?               |132.9078|+11.8492
130.0069|+18.9996|Cnc TX      |            | 1.0100| 0.0600| 0.6200| 0.0400|S0|  |10.121.003|WW   |G0-2V               |130.0069|+18.9996
138.0731|+14.9960|Cnc 81      |BD +15 2003 | 2.3000|       | 1.9000|       |V0|  |33.118.010|     |K0V                 |138.0731|+14.9960
188.2512|+26.7162|Com RW      |            | 0.2000| 0.0300| 0.5600| 0.0600|S0|  |44.117.108|WW   |                    |188.2512|+26.7162
183.0258|+22.5328|Com CC      |            | 0.3600|       | 0.6900|       |S0|  |31.117.126|WW   |                    |183.0258|+22.5328
183.0258|+22.5328|Com CC      |            | 0.6900| 0.0600| 0.3600| 0.0300|S0|  |20.121.060|W    |                    |183.0258|+22.5328
233.6720|+26.7147|CrB alpha   |            | 2.5800| 0.0450| 0.9200| 0.0250|S0|  |41.119.063|d    |A0V+(G5V)           |233.6720|+26.7147
230.8013|+30.2878|CrB 2 eta   |ADS 9617    | 1.1000| 0.2000| 1.0000| 0.2000|V0|  |02.118.002|     |dG2                 |230.8013|+30.2878
230.8013|+30.2878|CrB 2 eta   |BD +30 2653 | 1.1400|       | 1.0200|       |V0|  |12.111.002|     |                    |230.8013|+30.2878
230.8013|+30.2878|CrB 2 eta   |SIGM 1937   | 0.9500| 0.2700| 0.9400| 0.2600|V2|  |14.118.005|     |G2V+G2V             |230.8013|+30.2878
229.5473|+31.6471|CrB U       |HD 136175   | 6.7000|       | 2.6000|       |S0|  |20.117.026|sd/d |B5V+G2III/IV        |229.5473|+31.6471
181.5320|-61.2569|Cru AI      |CPD -60 3273| 9.8000| 0.5000| 5.8000| 0.3000|S0|  |43.119.099|sd   |B5+B8               |181.5320|-61.2569
189.4196|-19.5778|Crv RV      |HD 109796   | 1.6300| 0.1400| 0.4400| 0.0300|S0|  |42.117.195|sd/c |F2V+K               |189.4196|-19.5778
197.6538|+35.9349|CVn RS      |            | 1.4100| 0.0400| 1.4400| 0.0300|S0|  |45.117.095|RS   |F4+G9IV             |197.6538|+35.9349
203.0141|+28.5847|CVn VZ      |HD 117777   | 1.8400| 0.0700| 1.4300| 0.0300|S0|  |45.117.005|d    |F0V+F8V             |203.0141|+28.5847
294.8442|+30.1533|Cyg phi     |            | 2.5000| 0.0900| 2.3900| 0.0800|S2|  |31.120.010|     |G8III/IV+G8III/IV   |294.8442|+30.1533
326.0357|+28.7426|Cyg mu      |ADS 15270   | 1.4000|       | 1.1000|       |V0| c|45.118.002|     |F6V                 |326.0357|+28.7426
318.6979|+38.0453|Cyg tau     |ADS 14787   | 1.0000| 0.3000| 0.7500| 0.2000|V0|  |04.117.007|     |F0IV+G              |318.6979|+38.0453
313.0149|+34.6576|Cyg Y       |            |17.5700|       |17.3500|       |S0|  |02.117.001|     |B0+B0               |313.0149|+34.6576
314.5561|+35.1749|Cyg CG      |            | 0.5400|       | 0.5400|       |S0|  |39.117.141|RS   |                    |314.5561|+35.1749
314.5561|+35.1749|Cyg CG      |            | 0.5200|       | 0.5200|       |S0|  |43.117.337|RS   |G9.5V+K3IV/V        |314.5561|+35.1749
329.7358|+47.9833|Cyg MR      |BD +47 3639 | 3.0000|       | 2.5000|       |S0|  |02.121.095|     |B3+B8               |329.7358|+47.9833
329.7358|+47.9833|Cyg MR      |            | 3.0400|       | 2.5800|       |S0|  |02.117.001|     |A0+A7-8.5           |329.7358|+47.9833
329.7358|+47.9833|Cyg MR      |            | 4.5000| 1.1000| 2.5000| 0.4000|S0|  |21.121.052|d:   |B3+B9               |329.7358|+47.9833
316.7275|+38.7457|Cyg 61      |            | 0.6000|       | 0.6000|       |V0|  |10.118.022|     |K5+K7               |316.7275|+38.7457
297.6555|+40.5998|Cyg V380    |HD 187879   |13.3200| 1.3000| 7.6000| 0.6000|S0|  |28.119.011|d    |B1.5+B3             |297.6555|+40.5998
297.6555|+40.5998|Cyg V380    |            |14.3000| 0.6000| 8.0000| 0.3000|S0|  |38.120.018|     |B1.5II/III+B2V      |297.6555|+40.5998
304.6967|+36.3406|Cyg V382    |HD 228854   |26.7000|       |18.9000|       |S0|  |25.119.080|     |O7                  |304.6967|+36.3406
304.6967|+36.3406|Cyg V382    |            |38.0000| 0.4000|33.3000| 0.4000|S0|  |21.121.052|c    |O6.5+O7.5           |304.6967|+36.3406
306.9679|+30.7912|Cyg V442    |            | 1.5600| 0.0200| 1.4100| 0.0200|S0|  |44.119.013|d    |F1V+F2V             |306.9679|+30.7912
301.6457|+35.7406|Cyg V453    |HD 227696   |16.8000|       |12.9000|       |S0|  |21.121.052|d    |B0.5IV+B0.5IV       |301.6457|+35.7406
301.6457|+35.7406|Cyg V453    |BD +35 3964 |16.7800|       |12.8600|       |S0|  |12.121.011|d    |B0.5IV+B0.5IV       |301.6457|+35.7406
304.8405|+40.8879|Cyg V470    |HD 228911   |14.0900|       |16.0700|       |S0|  |31.117.134|d    |B2-3V+B2-3V         |304.8405|+40.8879
301.3654|+31.9717|Cyg V477    |            | 1.8000|       | 1.4000|       |S0|  |02.117.001|     |A3+(F6)             |301.3654|+31.9717
303.2542|+40.6450|Cyg V726    |BD +40 4220 |58.7000| 9.1000|13.7000| 6.3000|S0|  |22.121.009|ce   |O7fIa+OfIa          |303.2542|+40.6450
294.6716|+54.9738|Cyg V1143   |HD 185912   | 1.3910| 0.0160| 1.3470| 0.0130|S0|  |43.119.030|d    |F5V+F5V             |294.6716|+54.9738
294.6716|+54.9738|Cyg V1143   |HR 7484     | 1.3400| 0.0100| 1.3000| 0.0100|S0|  |01.121.028|     |F5V+F5V             |294.6716|+54.9738
294.6716|+54.9738|Cyg V1143   |BD +54 2193 | 1.3400| 0.0100| 1.3000| 0.0100|S0|  |01.121.028|     |(F5)V+(F5)V         |294.6716|+54.9738
249.7666|+60.6997|Dra WW      |            | 1.3600| 0.0800| 1.3400| 0.0600|S0|  |46.117.019|d    |G0+?                |249.7666|+60.6997
299.1199|+73.6160|Dra BS      |BD +73 890  | 1.3600| 0.0400| 1.3600| 0.0400|S0|  |41.119.042|d    |F5V+F5V             |299.1199|+73.6160
227.9598|+61.8570|Dra BV      |ADS 9537A   | 1.1000| 0.2000| 0.9000| 0.2000|S0|  |32.118.043|W    |                    |227.9598|+61.8570
