#
#   VizieR Astronomical Server: vizier.u-strasbg.fr 	2009-02-22T00:55:39
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VOTx26086	
#INFO	-out.max=50000	

#RESOURCE=yCat_7161
#Name: VII/161
#Title: Nearby Galaxies (Schmidt+ 1993)
#Coosys	B1950:	eq_FK4 B1950
#Table	VII_161_catalog:
#Name: VII/161/catalog
#Title: The Catalogue
#Column	_RAJ2000	(F6.2)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DEJ2000	(F6.2)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec;meta.main]
#Column	SPB	(I3)	[1/276]+ Running number in order of RA1950	[ucd=meta.id;meta.main]
#Column	Name	(a19)	Name (or comma-separated list of names)	[ucd=meta.id]
#Column	RAB1950	(A7)	Right Ascension B1950 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A6)	Declination B1950 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	HVel	(I4)	[]? Heliocentric velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	Group	(a6)	Group membership	[ucd=meta.code.member]
#Column	i	(I2)	[]? Inclination (face-on, in degrees)	[ucd=src.orbital.inclination]
#Column	BT	(F5.2)	[]? Observed total photoelectric blue mag.	[ucd=phot.mag;em.opt.B]
#Column	logD25	(F5.2)	[]? Logarithm of the angular diameter D25	[ucd=phys.angSize;src]
#Column	IRAS	(a10)	Name of the main infrared source from the IRAS catalogue (1988) (several for more than one possible identification)	[ucd=meta.id.cross]
#Column	logR25	(F5.2)	[]? Logarithm of the axis ratio R25	[ucd=phys.size;arith.ratio]
#Column	logFIR	(F9.2)	[]? Logarithm of the far-infrared-flux (erg/cm2/s)	[ucd=phot.flux;em.IR]
#Column	Name2	(a19)	Alternate name(s)	[ucd=meta.id]
#Column	type	(F4.1)	[]? Morphological type (numerical encoded)	[ucd=src.morph.type]
_RAJ2000|_DEJ2000|SPB|Name|RAB1950|DEB1950|HVel|Group|i|BT|logD25|IRAS|logR25|logFIR|Name2|type
013.19|-72.83| 16|N292               |00 51.0|-73 06| 158|LG    |63| 2.70| 3.50|several   | 0.23|    -6.39|E29-21             | 9.0
013.74|-37.70| 17|N300               |00 52.6|-37 58| 141|B7a   |43| 8.72| 2.34|00523-3756| 0.15|    -9.57|-06-03-005         | 7.0
015.04|-33.71| 18|E351-30            |00 57.8|-33 59| 196|LG    |36|10.50| 2.60|          | 0.11|         |-06-03-015         |-5.0
015.97|+21.88| 19|A0101+21           |01 01.2|+21 37|-280|LG    |50|     |     |          |     |         |                   |10.0
016.19| +2.13| 20|I1613              |01 02.2|+01 52|-235|LG    |22| 9.88| 2.21|01025+0153| 0.05|   -10.17|                   |10.0
016.84|+16.68| 21|U685               |01 04.7|+16 25| 155|field |  |     | 1.08|          | 0.14|         |                   | 9.0
017.25|+21.92| 22|A0106+21           |01 06.3|+21 39|-326|LG    |  |     |     |          |     |         |                   |10.0
017.37|+35.72| 23|N404               |01 06.7|+35 27| -45|field |  |11.21| 1.54|01066+3527| 0.00|    -9.87|                   |-3.0
017.49| +2.13| 24|A0107+01           |01 07.4|+01 52|-230|LG    |  |     |     |          |     |         |                   |
019.07|+33.41| 25|AND II             |01 13.5|+33 09|    |LG    |  |     |     |          |     |         |                   |-5.0
023.46|+30.66| 26|N598               |01 31.0|+30 24|-181|LG    |56| 6.27| 2.85|several   | 0.23|    -7.53|05-04-069          | 6.0
023.77|-41.43| 27|N625               |01 32.9|-41 41| 395|field |66|11.71| 1.76|01329-4141| 0.48|    -9.53|-07-04-017         | 9.0
026.27|-43.60| 28|E245-05            |01 43.0|-43 51| 394|field |35|12.70| 1.56|          | 0.06|         |                   |10.0
027.37|+32.60| 29|U1281              |01 46.6|+32 21| 158|field |82|     | 1.65|          | 0.76|         |                   | 8.0
027.76|-44.62| 30|PHE                |01 49.0|-44 52|  56|LG    |  |     |     |          |     |         |                   |10.0
030.32|+28.84| 31|N784               |01 58.4|+28 36| 198|field |79|12.23| 1.82|01584+2836| 0.64|   -10.41|                   | 7.5
039.09|+59.65| 32|A0232+59           |02 32.6|+59 26| -10|B1    |36|14.60| 0.78|02329+5926| 0.08|    -9.43|                   |-3.0
039.47|-61.33| 33|E115-21            |02 36.6|-61 33| 513|field |90|     | 1.87|          | 0.87|         |                   | 8.0
039.97|-34.52| 34|E356-04            |02 37.8|-34 44|  45|LG    |50| 9.04| 2.80|          | 0.13|         |-06-07-001         |-5.0
040.47|+59.60| 35|UA39               |02 38.1|+59 23|  -4|B1    |66|     | 1.00|          | 0.00|         |                   | 4.0
044.19|-54.57| 36|E154-23            |02 55.3|-54 46| 578|field |81|12.80| 1.93|02554-5445| 0.68|   -10.55|                   |10.0
044.93|+25.23| 37|N1156              |02 56.8|+25 02| 374|field |42|12.32| 1.52|02567+2502| 0.13|    -9.51|                   |10.0
050.11|+17.30| 38|U2684              |03 17.6|+17 07| 350|field |60|     | 1.26|          | 0.29|         |                   |10.0
049.55|-66.50| 39|N1313              |03 17.6|-66 41| 471|field |40| 9.20| 1.96|03176-6640| 0.12|    -8.63|                   | 7.0
050.08| -2.09| 40|N1298              |03 17.8|-02 16| 300|field |25|14.95| 1.20|03177-0215| 0.07|   -10.45|                   |-3.5
050.35|+40.81| 41|A0318+4038         |03 18.1|+40 38| 277|field |  |     | 1.18|          | 0.17|         |                   |-2.0
050.02|-52.19| 42|N1311              |03 18.6|-52 22| 570|field |81|     | 1.45|          | 0.54|         |                   | 9.0
051.03|+17.76| 43|U2716              |03 21.3|+17 35| 381|field |  |     | 1.20|          | 0.25|         |                   | 8.0
052.79|+66.50| 44|I342DW5            |03 26.6|+66 20|    |B1    |  |     |     |03266+6619|     |    -9.98|                   |10.0
053.14|+68.10| 45|I342DW6            |03 27.8|+67 56|    |B1    |  |     |     |03277+6755|     |   -10.18|                   |10.0
053.49|+68.10| 46|I342DW7            |03 29.2|+67 56|    |B1    |  |     |     |          |     |         |                   |10.0
053.30|-50.42| 47|I1959              |03 31.7|-50 35| 639|field |89|13.20| 1.45|03317-5034| 0.63|   -10.50|                   | 9.0
054.61|+67.60| 48|I342DW8            |03 33.7|+67 26|    |B1    |  |     |     |03337+6729|     |   -10.08|                   |10.0
055.04|+66.71| 49|I342DW10           |03 35.5|+66 33|    |B1    |  |     |     |03354+6633|     |    -9.88|                   |10.0
054.89|-18.69| 50|N1400              |03 37.3|-18 51| 524|field |28|11.92| 1.36|03372-1850| 0.06|   -10.25|-03-10-022         |-3.0
055.81|+68.26| 51|I342DW12           |03 38.4|+68 06|    |B1    |  |     |     |          |     |         |                   |10.0
056.71|+68.09| 52|I342               |03 42.0|+67 56|  34|B1    |27| 9.10| 2.33|03419+6756| 0.01|    -7.78|                   | 6.0
058.15|+71.10| 53|I342DW17           |03 47.3|+70 57|    |B1    |  |     |     |          |     |         |                   |10.0
059.62|+69.28| 54|I342DW19           |03 53.4|+69 08|    |B1    |  |     |     |          |     |         |                   |10.0
059.26|+16.53| 55|U2905              |03 54.2|+16 23| 292|field |  |     | 0.96|          | 0.19|         |                   |10.0
059.96|+67.13| 56|UA86               |03 55.0|+66 59|  80|B1    |30|     | 0.90|03550+6657| 0.06|    -9.56|A0355+66,11-05-000 |10.0
061.32|+67.25| 57|I342DW23           |04 00.4|+67 07|    |B1    |  |     |     |          |     |         |                   |10.0
061.88|+68.40| 58|I342DW24           |04 02.5|+68 16|    |B1    |  |     |     |          |     |         |                   |10.0
062.22|-56.00| 59|I2038              |04 07.8|-56 08| 712|field |  |15.50| 1.24|          | 0.62|         |                   | 7.0
062.47|-56.12| 60|N1533              |04 08.8|-56 15| 706|field |30|11.70| 1.44|04088-5614| 0.07|         |                   |-3.0
067.71|+64.84| 61|N1569              |04 26.1|+64 44| -91|B1    |64|11.86| 1.56|04260+6444| 0.31|    -8.66|ARP210,11-06-001   |10.0
068.20|+71.87| 62|N1560              |04 27.1|+71 46| -41|B1    |90|12.16| 1.99|04271+7146| 0.76|    -9.98|12-05-005          | 7.0
068.01|+63.61| 63|UA92               |04 27.4|+63 30| -99|B1    |60|     | 1.30|04275+6330| 0.30|   -10.25|                   |10.0
073.56|-53.35| 64|N1705              |04 53.1|-53 26| 640|field |49|12.77| 1.28|04531-5326| 0.13|   -10.26|                   |-3.0
073.33|-70.60| 65|E056-19            |04 53.8|-70 41| 273|LG    |  |     | 1.33|04538-7040| 0.32|   -10.01|                   |
078.56|+62.56| 66|UA105              |05 09.6|+62 30| 112|B1    |50|     | 1.74|05095+6230| 0.20|   -10.29|                   |10.0
081.24| +4.49| 67|U3303              |05 22.3|+04 27| 521|field |41|     | 1.56|          | 0.12|         |                   |10.0
080.89|-69.76| 68|E056-115           |05 24.0|-69 48| 278|LG    |28| 0.91| 3.81|several   | 0.07|    -5.30|                   | 9.0
086.27| +5.05| 69|A0542+05           |05 42.4|+05 02| 360|field |60|     |     |05422+0508|     |   -10.10|                   |10.0
089.38| +7.49| 70|A0554+07           |05 54.8|+07 29| 427|field |  |     | 1.60|          |     |         |                   |10.0
097.62|+33.30| 71|U3476              |06 27.2|+33 20| 469|field |  |     | 1.00|          | 0.55|         |                   |10.0
099.48|-25.99| 72|A0636-25           |06 35.9|-25 57| 498|field |  |     | 1.23|          | 0.09|         |                   |10.0
100.40|-50.97| 73|CAR                |06 40.4|-50 55| 229|LG    |  |     | 2.37|          | 0.18|         |                   |-5.0
103.66|+39.09| 74|U3600              |06 51.2|+39 09| 398|field |66|     | 1.04|          | 0.37|         |                   |10.0
107.13|+71.87| 75|K49                |07 02.7|+71 57|    |B2    |  |     |     |          |     |         |                   |-5.0
106.33|-58.53| 76|A0704-58           |07 04.5|-58 27| 554|field |  |     | 1.54|          | 0.32|         |                   | 9.0
107.33|+44.39| 77|U3698              |07 05.7|+44 28| 426|field |50|     | 1.00|          | 0.19|         |                   |10.0
107.55|+44.45| 78|N2337              |07 06.6|+44 32| 434|field |35|     | 1.35|07066+4432| 0.13|   -10.01|                   |10.0
108.46|+10.51| 79|U3755              |07 11.1|+10 36| 319|field |  |     | 1.22|          | 0.24|         |                   |10.0
110.68|+45.10| 80|U3817              |07 19.1|+45 12| 438|field |60|     | 1.26|          | 0.29|         |                   |10.0
112.10|+69.18| 81|N2363              |07 23.1|+69 17|  17|B2    |  |     |     |          |     |         |                   |10.0
112.22|+69.20| 82|N2366              |07 23.6|+69 18| 101|B2    |62|11.43| 1.91|07233+6917| 0.39|    -9.78|12-07-040          |10.0
112.06|+40.76| 83|U3860              |07 24.8|+40 52| 354|field |45|15.07| 1.12|          | 0.17|         |                   |10.0
113.54|+66.89| 84|UA133              |07 29.2|+67 00|    |B2    |47|     | 1.48|          | 0.18|         |                   |-5.0
112.83|-68.19| 85|E059-01            |07 31.3|-68 05| 533|field |21|     | 1.33|          | 0.10|         |                   |10.0
114.20|+65.61| 86|N2403              |07 32.0|+65 43| 132|B2    |57| 8.93| 2.34|07321+6543| 0.25|    -8.45|                   | 6.0
115.35|+40.12| 87|U3966              |07 38.0|+40 14| 362|field |24|13.90| 1.24|          | 0.01|         |                   |10.0
115.47|+16.80| 88|U3974              |07 39.0|+16 55| 268|field |40|13.60| 1.49|          | 0.02|         |                   |10.0
118.75|+14.40| 89|U4115              |07 52.2|+14 32| 338|field |58|     | 1.26|          | 0.25|         |                   |10.0
123.43|+46.00| 90|N2537,U4274,MARK86 |08 10.2|+46 09| 443|field |31|12.32| 1.24|          | 0.07|         |A0810+46,08-15-050 | 9.0
124.78|+70.71| 91|U4305,D50,HO II    |08 13.9|+70 52| 158|B2    |35|11.10| 1.90|08140+7052| 0.10|   -10.13|12-08-033          |10.0
125.81|+71.04| 92|A0818+71           |08 18.0|+71 12| 116|B2    |46|     | 1.26|          | 0.14|         |                   |10.0
127.12|+41.85| 93|U4426              |08 25.1|+42 01| 393|field |58|15.00| 1.30|          | 0.29|         |                   |10.0
128.54|+66.18| 94|U4459              |08 29.6|+66 21|  19|B2    |32|14.48| 1.19|          | 0.06|         |11-11-013          |10.0
129.28|+69.78| 95|U4483              |08 32.2|+69 57| 157|B2    |61|     | 1.05|          | 0.17|         |                   |10.0
133.46|+73.54| 96|U4634              |08 48.5|+73 44|    |B2    |  |     | 1.07|08483+7340| 0.00|   -10.10|                   |10.0
133.18|+33.41| 97|N2683              |08 49.6|+33 36| 411|field |79|10.64| 1.97|several   | 0.63|    -9.16|                   | 3.0
133.97|+72.01| 98|UA158              |08 50.8|+72 12|    |B2    |  |     |     |          |     |         |                   |-5.0
135.71|+20.07| 99|F564-V3            |09 00.0|+20 16| 481|field |  |     | 0.85|          |     |         |                   |10.0
137.44|-23.00|100|E497-17            |09 07.5|-22 48| 725|field |38|15.32| 1.11|          | 0.13|         |-04-22-003         |10.0
138.08|-24.17|101|N2784              |09 10.1|-23 58| 708|field |65|11.30| 1.74|          | 0.39|         |-04-22-005         |-2.0
139.86|+21.60|102|F565-V1            |09 16.6|+21 49| 491|field |  |     | 0.85|          |     |         |                   |10.0
141.54|-76.62|103|N2915              |09 26.5|-76 24| 468|field |53|13.25| 1.28|09265-7624| 0.29|   -10.30|                   | 9.0
143.03|+21.50|104|N2903              |09 29.3|+21 43| 556|field |56| 9.68| 2.10|several   | 0.32|    -8.45|04-23-009          | 4.0
143.21|+21.53|105|U5086              |09 30.0|+21 45| 448|field | 0|     | 0.96|          | 0.00|         |                   |10.0
145.12|+71.19|106|U5139              |09 36.0|+71 25| 140|B2    |27|13.00| 1.56|          | 0.09|         |12-09-059          |10.0
146.26|+32.24|107|U5209              |09 42.1|+32 28| 546|field |  |     | 0.96|          | 0.00|         |                   |10.0
146.82|+67.92|108|N2976              |09 43.2|+68 09|   9|B2    |59|10.82| 1.77|09431+6809| 0.34|    -9.15|                   | 5.0
146.97|+69.28|109|BK2N               |09 43.7|+69 31|    |B2    |  |     |     |          |     |         |                   |-5.0
147.30|+69.42|110|U5247              |09 45.0|+69 39| 143|B2    |62|     | 2.12|          | 0.34|         |                   | 8.0
147.58|+31.48|111|U5272              |09 47.4|+31 43| 520|field |67|14.46| 1.32|          | 0.42|         |                   |10.0
147.81| +7.83|112|U5288              |09 48.6|+08 04| 557|field |49|     | 1.10|09483+0803| 0.19|   -10.97|                   | 8.0
148.45|+68.96|113|BK3N               |09 49.7|+69 12| -40|B2    |  |     |     |          |     |         |                   |10.0
148.82|+68.60|114|A0951+68           |09 51.2|+68 50| -83|B2    |69|     | 1.65|          | 0.40|         |                   |-5.0
148.90|+69.06|115|N3031              |09 51.5|+69 18| -34|B2    |55| 7.89| 2.43|09514+6918| 0.28|    -8.44|12-10-010          | 2.0
148.96|+69.68|116|N3034              |09 51.7|+69 55| 204|B2    |84| 9.30| 2.05|09517+6954| 0.42|    -7.23|12-10-011          |
149.37|+69.28|117|K952+69            |09 53.4|+69 31|    |B2    |  |     |     |          |     |         |                   |10.0
149.42|+69.04|118|U5336              |09 53.6|+69 17|  45|B2    |73|14.30| 1.40|          | 0.09|         |12-10-012          |10.0
149.20|+28.83|119|U5340              |09 53.9|+29 04| 503|field |61|14.76| 1.43|          | 0.45|         |                   |10.0
149.85|+30.74|120|U5364,D69,LEO A    |09 56.5|+30 59|  22|LG    |52|12.92| 1.71|09567+3100| 0.22|   -10.59|                   |10.0
150.00| +5.33|121|U5373              |09 57.4|+05 34| 301|field |45|11.85| 1.71|09572+0534| 0.16|   -10.88|01-26-005          |10.0
150.85|+68.74|122|N3077              |09 59.4|+68 59|  11|B2    |38|10.61| 1.73|09592+6858| 0.08|    -9.10|                   |
150.92|+68.69|123|GARLAND            |09 59.7|+68 56|  43|B2    |  |     |     |          |     |         |                   |10.0
150.68| -6.01|124|UA193              |10 00.2|-05 46| 657|field |90|     | 1.45|          | 1.02|         |-01-26-012         | 7.0
151.16|+68.26|125|BK5N               |10 00.7|+68 30|    |B2    |  |     |     |          |     |         |                   |-5.0
150.77|-26.16|126|N3109,D236,UA194   |10 00.8|-25 55| 404|field |81|10.39| 2.28|several   | 0.71|    -9.68|-04-24-013         | 9.0
151.28|+66.56|127|U5428              |10 01.3|+66 48|    |B2    |  |     | 0.96|          | 0.00|         |                   |-5.0
151.37|+70.37|128|U5423              |10 01.4|+70 37| 340|field |40|     | 0.94|          | 0.18|         |                   |10.0
151.02|-27.33|129|A1001-27           |10 01.8|-27 05| 361|LG    |  |     | 1.30|          | 0.11|         |                   |10.0
151.17|+29.36|130|U5427              |10 01.8|+29 36| 498|field |  |     | 1.07|          | 0.15|         |                   | 8.0
151.30| -7.73|131|N3115              |10 02.7|-07 29| 662|field |80| 9.87| 1.86|          | 0.47|         |                   |-3.0
151.39| +0.07|132|U5439              |10 03.0|+00 19|    |field |  |     | 1.68|          | 0.00|         |                   |-5.0
151.77|+67.82|133|U5442              |10 03.2|+68 04|    |B2    |  |     | 1.26|          | 0.29|         |                   |-5.0
151.42| -7.98|134|-01-26-21          |10 03.2|-07 44| 715|field |  |13.20| 1.24|          | 0.08|         |                   |-2.0
151.84|+10.36|135|U5456              |10 04.7|+10 36| 535|field |61|13.72| 1.21|10046+1036| 0.31|   -10.49|                   |
152.12|+12.30|136|U5470              |10 05.8|+12 33| 168|LG    |  |11.18| 1.99|          | 0.12|         |02-26-027          |-5.0
152.76| -4.71|137|D75                |10 08.5|-04 28| 324|field |28|11.86| 1.77|          | 0.08|         |-01-26-030         |10.0
153.26| -1.61|138|A1010-01           |10 10.5|-01 22| 230|LG    |  |     |     |          |     |         |                   |-5.0
156.62|+67.66|139|D78                |10 22.8|+67 55|    |B2    |  |     |     |          |     |         |                   |-5.0
157.10|+68.41|140|I2574              |10 24.7|+68 40|  46|B2    |61|10.80| 2.12|10251+6843| 0.39|    -9.67|D81,12-10-038      | 9.0
157.09|+22.58|141|U5672              |10 25.6|+22 50| 531|field |  |     | 1.26|          | 0.52|         |                   |
157.65|+70.61|142|U5692              |10 26.8|+70 52|  40|B2    |  |13.47| 1.51|          | 0.26|         |                   | 9.0
158.07|+27.68|143|N3274              |10 29.5|+27 56| 538|field |58|13.21| 1.33|10294+2755| 0.32|   -10.26|                   | 6.8
158.62|+66.01|144|BK6N               |10 31.0|+66 16|    |B2    |  |     |     |          |     |         |                   |-5.0
162.32|+64.72|145|UA220              |10 46.0|+64 59|    |B2a   |47|16.90| 1.23|          | 0.16|         |                   |10.0
162.41|+65.54|146|U5918              |10 46.3|+65 48| 338|B2a   |30|14.93| 1.38|          | 0.00|         |D87,11-13-039      |10.0
162.58|+65.10|147|BK7N               |10 47.0|+65 22|    |B2a   |  |16.20| 1.32|          | 0.21|         |                   |10.0
163.24|+69.55|148|K73                |10 49.5|+69 49| 115|B2    |  |     | 0.78|          | 0.00|         |                   |10.0
163.44|+65.25|149|KKB1050+65         |10 50.5|+65 31|    |B2a   |  |     |     |          |     |         |                   |10.0
163.59|+65.20|150|BK8N               |10 51.1|+65 28|    |B2a   |  |15.80| 1.48|          | 0.05|         |                   |10.0
163.64|+65.28|151|KKB1051+65         |10 51.3|+65 33|    |B2a   |  |     |     |          |     |         |                   |10.0
165.59|+70.26|152|K74                |10 59.0|+70 32|    |B2    |  |17.30| 0.78|          | 0.00|         |                   |-5.0
168.36|+22.16|153|U6253              |11 10.8|+22 26|  90|LG    |  |12.60| 2.08|          | 0.04|         |K77,04-27-005      |-5.0
169.56|-32.81|154|N3621              |11 15.8|-32 32| 726|field |53|10.18| 2.09|11159-3235| 0.24|    -8.68|-05-27-008         | 7.0
172.00|+78.99|155|U6456              |11 24.6|+79 16| -94|field |55|     | 1.16|          | 0.24|         |13-08-058          |
173.38|+49.24|156|U6541              |11 30.8|+49 31| 239|B4    |57|14.50| 1.09|          | 0.27|         |                   |10.0
173.96|+54.52|157|N3738              |11 33.1|+54 48| 229|B4    |40|12.13| 1.40|11330+5448| 0.12|    -9.96|09-19-130          |10.0
174.02|+45.29|158|N3741              |11 33.4|+45 34| 211|B4    |  |14.30| 1.31|11332+4533| 0.26|   -10.98|                   |10.0
177.25|+23.84|159|U6782              |11 46.4|+24 07| 526|field |30|15.00| 1.30|          | 0.00|         |                   |10.0
177.70|+38.87|160|U6817              |11 48.2|+39 09| 248|B4    |64|13.40| 1.61|          | 0.42|         |                   |10.0
179.69|+27.57|161|A1156+27,BTS76     |11 56.2|+27 51| 499|field |  |16.50| 0.81|          |     |         |                   |10.0
181.01|+52.59|162|N4068              |12 01.5|+52 52| 212|B4    |55|     | 1.52|12012+5252| 0.28|   -10.75|                   |10.0
181.34|+28.37|163|05-29-009          |12 02.8|+28 39| 508|field |  |     | 0.80|          | 0.22|         |                   |
182.31|+30.91|164|U7131              |12 06.7|+31 11| 253|field |  |     | 1.18|          | 0.56|         |                   | 8.0
182.50|+46.46|165|N4144              |12 07.5|+46 44| 267|B4    |80|12.05| 1.78|12074+4644| 0.66|   -10.02|                   | 6.0
182.51|+70.42|166|U7160              |12 07.6|+70 42|    |B2    |  |     | 1.00|          | 0.00|         |                   |10.0
182.63|+30.41|167|N4150              |12 08.0|+30 41| 240|B4    |43|12.44| 1.37|12080+3040| 0.16|   -10.15|                   |-2.0
183.03|+36.17|168|N4163              |12 09.6|+36 27| 165|B4    |22|14.50| 1.26|12093+3628| 0.05|   -10.85|                   |10.0
183.45|-38.23|169|E321-14            |12 11.2|-37 57| 613| field|  |     | 1.15|          | 0.36|         |                   |10.0
183.43|+36.64|170|N4190              |12 11.2|+36 55| 231|B4    |21|13.90| 1.22|12111+3654| 0.04|   -10.57|06-27-030          |10.0
183.73|+36.22|171|UA276              |12 12.4|+36 30| 284|B4    |14|     | 1.00|          | 0.00|         |                   |10.0
183.90|+36.32|172|N4214              |12 13.1|+36 36| 290|B4    |38|10.24| 1.93|12131+3636| 0.11|    -9.10|                   |10.0
184.12|+52.22|173|U7298              |12 14.0|+52 30| 172|B4    |52|     | 1.10|          | 0.33|         |                   |10.0
184.19|+69.47|174|N4236              |12 14.4|+69 45|   0|B2    |74|10.05| 2.34|12140+6947| 0.48|    -9.59|                   | 8.0
184.38|+37.81|175|N4244              |12 15.0|+38 05| 242|B4    |86|10.88| 2.22|12150+3804| 0.94|    -9.47|                   | 6.0
184.38|+22.54|176|U7321              |12 15.0|+22 49| 408|field |90|14.15| 1.74|          | 1.19|         |                   | 7.0
184.68|-79.73|177|I3104              |12 15.7|-79 27| 430|field |62|     | 1.58|          | 0.32|         |                   |10.0
184.79|+47.09|178|U7356              |12 16.7|+47 22| 264|B4    |42|     | 0.96|          | 0.03|         |                   |10.0
184.90|+29.89|179|I779               |12 17.1|+30 10| 333|B4    | 0|     | 0.99|          | 0.00|         |                   |
185.80|+28.89|180|I3247              |12 20.7|+29 10| 525|field |90|     | 1.38|          | 1.08|         |                   | 5.0
186.33|+26.71|181|I3308              |12 22.8|+26 59| 333|B4    |  |     | 1.13|          | 0.80|         |                   | 8.0
186.47|+33.54|182|N4395              |12 23.4|+33 49| 317|B4    |40|10.64| 2.12|12233+3348| 0.08|    -9.52|                   | 9.0
